time,content,Cleaned,Sentiment_polarity,Sentiment_subjectivity
2019-10-29 20:10:28,"#RT @Variety: When Cynthia Erivo was cast as #Harriet, she hadn’t been in a movie yet: “I’m stubborn. I kept asking… https://t.co/IHDvp6iUYh",variety cynthia erivo cast harriet movie yet stubborn kept asking,0.0,0.0
2019-10-29 20:09:36,"RT @HistoryExtra: “It is thought that she rescued around 300 slaves directly – including some of her brothers, their families and her own p…",historyextra thought rescued around slave directly including brother family p,0.1,0.4
2019-10-29 20:07:17,#Harriet Movie Features a Model of Courage for Today #BeInformed  https://t.co/3IwtBENQ6m,harriet movie feature model courage today beinformed,0.0,0.0
2019-10-29 20:06:46,RT @votegirlvote: Robert Ito's article full of references to the talented present day women telling Ms. Tubman's story.  #votegirlvote #tak…,votegirlvote robert ito article full reference talented present day woman telling m tubman story votegirlvote tak,0.3499999999999999,0.4833333333333334
2019-10-29 19:58:06,"RT @BET: Paying tribute to a true superhero! #HARRIET is in theaters November 1 starring @CynthiaErivo, @LeslieOdomJr, and @JanelleMonae! T…",bet paying tribute true superhero harriet theater november starring cynthiaerivo leslieodomjr janellemonae,0.35,0.65
2019-10-29 19:56:08,"RT @BET: Paying tribute to a true superhero! #HARRIET is in theaters November 1 starring @CynthiaErivo, @LeslieOdomJr, and @JanelleMonae! T…",bet paying tribute true superhero harriet theater november starring cynthiaerivo leslieodomjr janellemonae,0.35,0.65
2019-10-29 19:54:50,RT @Variety: Leslie Odom Jr. says the outcry over Cynthia Erivo’s casting as #Harriet is is “coming out of pain. That’s coming from a peopl…,variety leslie odom jr say outcry cynthia erivo casting harriet coming pain coming peopl,0.0,0.0
2019-10-29 19:54:40,"""This is a badass, Pam Grier version of Harriet."" -Daniel Lundberg 

Lemmons wanted to give Tubman “the superhero t… https://t.co/AESKqB8VsG",badass pam grier version harriet daniel lundberg lemmon wanted give tubman superhero,0.0,0.0
2019-10-29 19:53:50,"RT @JoeyMagidson: Cynthia Erivo delivers strong work in #Harriet, a frustratingly bland biopic that only sporadically comes alive. A missed…",joeymagidson cynthia erivo delivers strong work harriet frustratingly bland biopic sporadically come alive missed,0.12222222222222219,0.6555555555555556
2019-10-29 19:51:43,"Based on the thrilling and inspirational life of #HarrietTubman, #HARRIET opens at the #Shattuck this Thursday nigh… https://t.co/GU0o9ibcgq",based thrilling inspirational life harriettubman harriet open shattuck thursday nigh,0.25,0.8333333333333334
2019-10-29 19:51:41,Make sure you take your kids to see #HARRIET  I know mines will be and know the history of our people past. https://t.co/nYfB1MFtGy,make sure take kid see harriet know mine know history people past,0.125,0.5694444444444444
2019-10-29 19:51:29,"RT @BET: Paying tribute to a true superhero! #HARRIET is in theaters November 1 starring @CynthiaErivo, @LeslieOdomJr, and @JanelleMonae! T…",bet paying tribute true superhero harriet theater november starring cynthiaerivo leslieodomjr janellemonae,0.35,0.65
2019-10-29 19:47:59,"RT @HarrietFilm: Harriet Tubman, a real-life superhero. Discover her story in theaters November 1st. #HARRIET https://t.co/F1kIdK1v4E",harrietfilm harriet tubman real life superhero discover story theater november st harriet,0.2,0.30000000000000004
2019-10-29 19:47:12,"RT @BET: Paying tribute to a true superhero! #HARRIET is in theaters November 1 starring @CynthiaErivo, @LeslieOdomJr, and @JanelleMonae! T…",bet paying tribute true superhero harriet theater november starring cynthiaerivo leslieodomjr janellemonae,0.35,0.65
2019-10-29 19:46:16,RT @AMCArtisanFilms: Get tickets now through 11/14 to see #HARRIET at @AMCTheatres and you'll be entered to win a trip to the @NMAAHC in Wa…,amcartisanfilms ticket see harriet amctheatres entered win trip nmaahc wa,0.8,0.4
2019-10-29 19:45:22,"As you get ready for the new Harriet Tubman movie, consider (re)reading LIKE A BIRD:The Art of the American Slave S… https://t.co/qnM3TI78Y5",ready new harriet tubman movie consider reading like bird art american slave,0.11212121212121212,0.3181818181818182
2019-10-29 19:44:45,"RT @Variety: When Cynthia Erivo was cast as #Harriet, she hadn’t been in a movie yet: “I’m stubborn. I kept asking if we were ready, if we…",variety cynthia erivo cast harriet movie yet stubborn kept asking ready,0.2,0.5
2019-10-29 19:41:15,RT @UniPicturesCAN: Janelle Monáe is the confident and sophisticated Marie. See her in #HARRIET November 1st. https://t.co/hQ7QmeSEdo,unipicturescan janelle mon e confident sophisticated marie see harriet november st,0.5,0.9166666666666667
2019-10-29 19:39:48,RT @AMCArtisanFilms: Experience the extraordinary tale of #Harriet Tubman's escape from slavery and transformation into one of America's gr…,amcartisanfilms experience extraordinary tale harriet tubman escape slavery transformation one america gr,0.3333333333333333,1.0
2019-10-29 19:38:45,RT @Variety: Leslie Odom Jr. says the outcry over Cynthia Erivo’s casting as #Harriet is is “coming out of pain. That’s coming from a peopl…,variety leslie odom jr say outcry cynthia erivo casting harriet coming pain coming peopl,0.0,0.0
2019-10-29 19:36:56,"RT @60SecDocs: Five generations later...

Based on the life of Harriet Tubman, @harrietfilm is out nationwide on 11/1.

@FocusFeatures @Cyn…",secdocs five generation later based life harriet tubman harrietfilm nationwide focusfeatures cyn,0.0,0.0
2019-10-29 19:36:35,RT @Teneha: @CynthiaEriVo and the entire cast of #Harriet are excellent! I was pleasantly surprised by @JenniferNettles powerful performanc…,teneha cynthiaerivo entire cast harriet excellent pleasantly surprised jennifernettles powerful performanc,0.35000000000000003,0.88125
2019-10-29 19:35:05,RT @Cinemark: Did @CynthiaErivo feel pressure in playing such an important historical figure? Watch our interview with her to find out. :backhand_index_pointing_down:…,cinemark cynthiaerivo feel pressure playing important historical figure watch interview find backhand index pointing,0.2,0.5
2019-10-29 19:33:32,RT @AMCArtisanFilms: Experience the extraordinary tale of #Harriet Tubman's escape from slavery and transformation into one of America's gr…,amcartisanfilms experience extraordinary tale harriet tubman escape slavery transformation one america gr,0.3333333333333333,1.0
2019-10-29 19:31:22,Why can't I find any #HARRIET showings in or near Oxford?!,find harriet showing near oxford,0.1,0.4
2019-10-29 19:31:10,"RT @prometheus50K: He’s partially right, now magnify that x1000 because Cynthia Erivo has ZERO respect for the ethnicity of the woman she i…",prometheus k partially right magnify x cynthia erivo zero respect ethnicity woman,0.2857142857142857,0.5357142857142857
2019-10-29 19:30:59,"He’s partially right, now magnify that x1000 because Cynthia Erivo has ZERO respect for the ethnicity of the woman… https://t.co/r67VW9DPw8",partially right magnify x cynthia erivo zero respect ethnicity woman,0.2857142857142857,0.5357142857142857
