date,content
2019-10-30 17:32:09,I looked at my watch for the first time 2.5 hours into #TheIrishman. Which is a very good thing. But then I did ver… https://t.co/A3J4RU7QOp
2019-10-30 17:30:00,Planning on seeing #TheIrishman? Here's what you need to know: https://t.co/yKvzjIwb0X
2019-10-30 17:29:07,‘#TheIrishman’ DP Shares How He Mixed Media to Define the Movie’s Different Eras https://t.co/KgB057ynv9 https://t.co/21MxZyKHpv
2019-10-30 17:26:23,"Scorsese, De Niro and Pacino on time and 'The Irishman' https://t.co/rHP6UcQHBG #Theirishman"
2019-10-30 17:20:40,"@mgrant76308 My guess is DiNiro will ruin the true story of Frank Sheeran in #TheIrishman

He's 5'8, playing a man… https://t.co/ID6gJQ53D7"
2019-10-30 17:14:51,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 17:14:37,"RT @consequence: Relevant Content turns the spotlight on Martin Scorsese ahead of #TheIrishman. Guests include News Editor Ben Kaye, senior…"
2019-10-30 17:11:20,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 17:10:19,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 17:08:18,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 17:05:48,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason #Bombshel…"
2019-10-30 17:05:30,"FULL OSCAR PREDICTIONS (Updated 10/30/19)

#Oscars #AcademyAwards #AMPAS #Movies #Film #Cinema #AwardsSeason… https://t.co/HWEv75XyV0"
2019-10-30 17:00:15,New Titles Coming to Netflix for November 2019... https://t.co/Q4hcQLU3yo #TheIrishman
2019-10-30 16:59:38,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 16:59:35,"RT @TODAYshow: Watch @HarrySmith's full interview with #TheIrishman stars Al Pacino, Robert De Niro and Ray Romano. https://t.co/F5XdExVMwB"
2019-10-30 16:56:36,"Watch THE IRISHMAN Full Movie HD for Free
#irishman #hollywood #EasyFire #theirishman https://t.co/rGEJFGRcO9"
2019-10-30 16:48:39,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 16:45:00,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 16:43:48,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 16:43:20,"On the 49th draft of the @untitled_cast, @mattrorabeck and I stream on with a conversation about @AppleTVPlus,… https://t.co/jpCWj2QcT8"
2019-10-30 16:38:02,"RT @consequence: Relevant Content turns the spotlight on Martin Scorsese ahead of #TheIrishman. Guests include News Editor Ben Kaye, senior…"
2019-10-30 16:36:15,I feel kinda sorry for #AlPacino #RayRomano #martinscorsese #JoePesci  because I feel the #BoxOffice will be very l… https://t.co/sU0f9hvuJu
2019-10-30 16:34:31,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 16:32:08,"Relevant Content turns the spotlight on Martin Scorsese ahead of #TheIrishman. Guests include News Editor Ben Kaye,… https://t.co/wTAqS6tKB6"
2019-10-30 16:29:59,@DSARuns4Fun Let’s go see #TheIrishman https://t.co/kes3Zo8frY
2019-10-30 16:22:00,"Okay, just got out of #TheIrishman. Movie was like 47.5 hours long. 

And I loved every minute of it."
2019-10-30 16:20:03,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 16:19:30,Seeing #TheIrishman Saturday night at the Egyptian. The cinema gods are good. https://t.co/7dSpWc8GAw
2019-10-30 16:18:23,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 16:16:49,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 16:15:29,RT @screenjunkies: Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and @RothCornet!…
2019-10-30 16:15:10,"RT @TODAYshow: Watch @HarrySmith's full interview with #TheIrishman stars Al Pacino, Robert De Niro and Ray Romano. https://t.co/F5XdExVMwB"
2019-10-30 16:14:45,Is #TheIrishman the most Scorsese film of all Scorsese films? Check out our #Review with @MurrellDan and… https://t.co/RoYbs2NpxI
2019-10-30 16:04:44,RT @LondonMovieLoon: Day off booked &amp; ticket bought for #TheIrishman opening day @ThePCCLondon - big screen is the only way to see a movie.
2019-10-30 16:02:42,"This is porn to me. 
I love it!
#TheIrishman
https://t.co/AsbzSzTkfG"
2019-10-30 15:54:28,Screened THE IRISHMAN last night. All three and a half hours of it... Scorsese is a master storyteller. Loved the p… https://t.co/nuZGmiBT4o
2019-10-30 15:49:22,"RT @LeoDiCaprio: Very proud to attend the premiere of #TheIrishman. Congratulations to my friend and mentor Martin Scorsese, and to Robert…"
2019-10-30 15:46:47,Day off booked &amp; ticket bought for #TheIrishman opening day @ThePCCLondon - big screen is the only way to see a movie.
2019-10-30 15:45:54,Watch this video review of #Netflix #TheIrishman movie and SUBSCRIBE to https://t.co/eyWT1PG73e today and support m… https://t.co/tiAJgjjirZ
2019-10-30 15:45:20,"RT @TODAYshow: Watch @HarrySmith's full interview with #TheIrishman stars Al Pacino, Robert De Niro and Ray Romano. https://t.co/F5XdExVMwB"
2019-10-30 15:44:10,"A conversation about #TheIrishman"" with its cast and crew: https://t.co/P4uuvzfUvd @janetribeca @ThatRebecca @TheAcademy @TheIrishmanFilm"
2019-10-30 15:37:13,"RT @mrwillw: Enter to #win Run-of-Engagement passes to see #TheIrishman at @TIFF_NET Lightbox!

https://t.co/Qo2nv3Fqv3 https://t.co/LWOHku…"
2019-10-30 15:36:57,Legends! #irishman #TheIrishman https://t.co/bl4sLUBNe8
2019-10-30 15:30:00,#AvengersEndgame #TheIrishman and more win big at the Hollywood Film Awards 2019. https://t.co/0BVI1BTfgv
2019-10-30 15:27:56,"RT @FilmTampaBay: Where else can you see #TheIrishman in a historical movie palace? @tampatheatre has a run of movie times late Nov, where…"
2019-10-30 15:11:59,RT @ChristieDigital: Audiences of the 63rd @BFI #LFF will enjoy the amazing colour and high contrast images capable with Christie #RealLase…
2019-10-30 14:58:54,Film review: ‘The Irishman’ has Martin Scorsese grappling with death in a somewhat repetitive but endlessly fascina… https://t.co/lTpufHjgwk
2019-10-30 14:47:04,I want to see #ParasiteMovie one last time before #TheIrishman and this short movie I'm shooting in November take o… https://t.co/Eyb2nUvyHg
2019-10-30 14:43:11,"RT @VSiNLive: #ICYMI on #FollowTheMoney. @RichardERoeper joins @MitchMossRadio &amp; @paulyhoward to talk #Oscars odds, #TheJoker, and #TheIris…"
2019-10-30 14:39:00,"RT @TODAYshow: Watch @HarrySmith's full interview with #TheIrishman stars Al Pacino, Robert De Niro and Ray Romano. https://t.co/F5XdExVMwB"
2019-10-30 14:37:44,"RT @FYC_Oscar: #Termómetro8 #Oscars #MejorDirector
1. ↔️ MARTIN SCORSESE #TheIrishman
2. ↔️ SAM MENDES #1917Film
3. ↔️ NOAH BAUMBACH #Marri…"
2019-10-30 14:37:22,"RT @FYC_Oscar: #Termómetro8 #Oscars #MejorActorSecundario
1. ↔️ STERLING K. BROWN #Waves
2. ↔️ AL PACINO #TheIrishman
3. ↔️ TOM HANKS #ABea…"
2019-10-30 14:32:45,RT @TheFilmStage: Martin Scorsese's #TheIrishman opens this Friday in limited release ahead of a Netflix debut on November 27. Read @fauxbe…
2019-10-30 14:31:30,RT @TheFilmStage: Martin Scorsese's #TheIrishman opens this Friday in limited release ahead of a Netflix debut on November 27. Read @fauxbe…
2019-10-30 14:31:00,Martin Scorsese's #TheIrishman opens this Friday in limited release ahead of a Netflix debut on November 27. Read… https://t.co/WzT5mwr0Pe
2019-10-30 14:25:18,"RT @VSiNLive: #ICYMI on #FollowTheMoney. @RichardERoeper joins @MitchMossRadio &amp; @paulyhoward to talk #Oscars odds, #TheJoker, and #TheIris…"
2019-10-30 14:24:28,"RT @BritishGQ: Introducing our December cover star… 🥁  
Hollywood legend and star of #TheIrishman, the one and only Mr. #RobertDeNiro. 
Rea…"
2019-10-30 14:21:21,"#ICYMI on #FollowTheMoney. @RichardERoeper joins @MitchMossRadio &amp; @paulyhoward to talk #Oscars odds, #TheJoker, an… https://t.co/2m8rsjDGi2"
