time,content,Cleaned,Sentiment_polarity,Sentiment_subjectivity
2019-10-25 22:37:29,"RT @Variety: Robert De Niro, Al Pacino and Martin Scorsese bring New York to Hollywood for #TheIrishman L.A. premiere https://t.co/MuNYstUu…",variety robert de niro al pacino martin scorsese bring new york hollywood theirishman l premiere,0.13636363636363635,0.45454545454545453
2019-10-25 22:35:37,"RT @KirstenChuba: Netflix is going big for its first premiere at the iconic TCL Chinese Theatre, transforming Hollywood Blvd for #TheIrishm…",kirstenchuba netflix going big first premiere iconic tcl chinese theatre transforming hollywood blvd theirishm,0.1875,0.23333333333333334
2019-10-25 22:34:59,"#TheIrishman is Scorsese's agony in the garden, an act of grieving and guilt for his foibles and fuck-ups, in cinem… https://t.co/HvHWkgUvVC",theirishman scorsese agony garden act grieving guilt foible fuck ups cinem,-0.4,0.6
2019-10-25 22:32:11,RT @APEntertainment: NOT A FAT SUIT: The awkward moment with #AlPacino that inspired #RayRomano - his co-star in… https://t.co/X1HCoL2Yj1,apentertainment fat suit awkward moment alpacino inspired rayromano co star,-0.6,1.0
2019-10-25 22:31:41,Waiting for #TheIrishman press conference to start. I’m in the 2nd row! https://t.co/t0MsDDSFe7,waiting theirishman press conference start nd row,0.0,0.0
2019-10-25 22:31:12,RT @NetflixQueue: SCORSESE. #TheIrishman https://t.co/IE3Bm3JCVr,netflixqueue scorsese theirishman,0.0,0.0
2019-10-25 22:30:33,"RT @KirstenChuba: Netflix is going big for its first premiere at the iconic TCL Chinese Theatre, transforming Hollywood Blvd for #TheIrishm…",kirstenchuba netflix going big first premiere iconic tcl chinese theatre transforming hollywood blvd theirishm,0.1875,0.23333333333333334
2019-10-25 22:29:35,"RT @KirstenChuba: Netflix is going big for its first premiere at the iconic TCL Chinese Theatre, transforming Hollywood Blvd for #TheIrishm…",kirstenchuba netflix going big first premiere iconic tcl chinese theatre transforming hollywood blvd theirishm,0.1875,0.23333333333333334
2019-10-25 22:27:29,#TheIrishman star Al Pacino on what he thinks happened to Jimmy Hoffa. https://t.co/VpC1aGfSrm https://t.co/9HIWqPAWr8,theirishman star al pacino think happened jimmy hoffa,0.0,0.0
2019-10-25 22:27:11,RT @APEntertainment: NOT A FAT SUIT: The awkward moment with #AlPacino that inspired #RayRomano - his co-star in  #TheIrishman - to get in…,apentertainment fat suit awkward moment alpacino inspired rayromano co star theirishman,-0.6,1.0
2019-10-25 22:26:48,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 22:24:21,Waiting on #RobertDeNiro #JoePesci and #AlPacino! #TheIrishman #TheIrishmanPremiere @NetflixFilm @TheIrishmanFilm https://t.co/JoEki8CcBH,waiting robertdeniro joepesci alpacino theirishman theirishmanpremiere netflixfilm theirishmanfilm,0.0,0.0
2019-10-25 22:22:16,RT @NetflixQueue: SCORSESE. #TheIrishman https://t.co/IE3Bm3JCVr,netflixqueue scorsese theirishman,0.0,0.0
2019-10-25 22:18:23,"RT @KirstenChuba: Robert De Niro, Martin Scorsese and Al Pacino walking the carpet at tonight’s premiere (Pesci ducked out of sight shortly…",kirstenchuba robert de niro martin scorsese al pacino walking carpet tonight premiere pesci ducked sight shortly,0.0,0.3
2019-10-25 22:18:20,"RT @KirstenChuba: Netflix is going big for its first premiere at the iconic TCL Chinese Theatre, transforming Hollywood Blvd for #TheIrishm…",kirstenchuba netflix going big first premiere iconic tcl chinese theatre transforming hollywood blvd theirishm,0.1875,0.23333333333333334
2019-10-25 22:17:00,"RT @Variety: The #Oscars race has started. In contention for best picture?
#Joker
#LittleWomen
#HoneyBoy
#TheIrishman
#DolemiteIsMyName
#Th…",variety oscar race started contention best picture joker littlewomen honeyboy theirishman dolemiteismyname th,1.0,0.3
2019-10-25 22:16:34,RT @joshgad: Holy cow. #TheIrishman is a masterclass in storytelling with iconic performances by three of the greatest living actors of our…,joshgad holy cow theirishman masterclass storytelling iconic performance three greatest living actor,0.45555555555555555,0.5555555555555555
2019-10-25 22:16:20,"RT @mrjaxtaylor: Last one... sorry, just looking at two of my favorite actors and pretending we are in casino and and about to go out and w…",mrjaxtaylor last one sorry looking two favorite actor pretending casino go w,0.0,0.6888888888888888
2019-10-25 22:15:14,RT @NetflixQueue: SCORSESE. #TheIrishman https://t.co/IE3Bm3JCVr,netflixqueue scorsese theirishman,0.0,0.0
2019-10-25 22:15:07,#TheIrishman press conference is about to begin....#CriticsChoice https://t.co/YuhgtxMmux,theirishman press conference begin criticschoice,0.0,0.0
2019-10-25 22:14:41,RT @KristianHarloff: Legend #TheIrishman https://t.co/BzoTprTM1Y,kristianharloff legend theirishman,0.0,0.0
2019-10-25 22:13:27,RT @leo94dicaprio: Leonardo DiCaprio with the cast of #TheIrishman https://t.co/lmJ8TW2jc4,leo dicaprio leonardo dicaprio cast theirishman,0.0,0.0
2019-10-25 22:13:00,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
